SVID Kennzeichen Wert Aufloesung Prioritaet Steuerung
 63. ANMELDUNG           AF   Per Fax                                 
241383. PS-SCHULE           156012Johanna-Rose-Schule - Ahlen   S         
241384. PS-SCHULE           156024Overbergschule - Beckum       S         
241385. PS-SCHULE           156036Pestalozzischule - Ennigerloh S         
241386. PS-SCHULE           156048Erich-Kästner-Schule - Hamm   S         
241387. PS-SCHULE           156061Pestalozzischule - Oelde      S         
241388. PS-SCHULE           156073Krankenhausschule im Sankt-Josef-Stift - SendenhorstS         
241389. PS-SCHULE           156085Johannesschule - Borken       S         
241390. PS-SCHULE           156097Westfälische Schule - Reken   S         
241391. PS-SCHULE           156115Fröbelschule - Coesfeld       S         
241392. PS-SCHULE           156127Pestalozzischule - Dülmen     S         
241394. PS-SCHULE           156152Paul-Dohrmann-Schule - Hamm   S         
241395. PS-SCHULE           156164Barbaraschule - Werne         S         
241396. PS-SCHULE           156176Burg-Schule - Ascheberg       S         
241397. PS-SCHULE           156190Pestalozzischule - Selm       S         
241398. PS-SCHULE           156206Johannesschule  - Sonderschule - - GrevenS         
241399. PS-SCHULE           156218Augustin-Wibbelt-Schule Roxel - MünsterS         
241400. PS-SCHULE           156243Erich Kästner-Schule - Haltern am SeeS         
241401. PS-SCHULE           156255Achtenbeckschule - Herten     S         
241402. PS-SCHULE           156280Pestalozzischule - Datteln    S         
241403. PS-SCHULE           156292Friedrich-Fröbel-Schule - Oer-ErkenschwickS         
241404. PS-SCHULE           156309Von-Ketteler-Schule - Dorsten S         
241405. PS-SCHULE           156310Korczakschule - Dorsten       S         
241406. PS-SCHULE           156322Wilhelm-Raabe-Schule - Marl   S         
241407. PS-SCHULE           156334Schule für Kranke - Marl      S         
241408. PS-SCHULE           156358Heinrich-Kielhorn-Schule - MarlS         
241409. PS-SCHULE           156371Paul-Dohrmann-Schule - WaltropS         
241410. PS-SCHULE           156395Annette von Droste-Hülshoff Schule - EmsdettenS         
241411. PS-SCHULE           156401Grüterschule - Rheine         S         
241412. PS-SCHULE           156425Priv. Heimschule für Erziehungshilfe - WettringenS         
241413. PS-SCHULE           156437Pestalozzischule - Ochtrup    S         
241414. PS-SCHULE           156449Astrid-Lindgren-Schule - LengerichS         
241415. PS-SCHULE           156450Barbaraschule - Mettingen     S         
241416. PS-SCHULE           156462Helen-Keller-Schule - IbbenbürenS         
241417. PS-SCHULE           156498Franziskusschule - Warendorf  S         
241418. PS-SCHULE           156504Don-Bosco-Schule - HarsewinkelS         
241419. PS-SCHULE           156516Westfälische Schule - BielefeldS         
241420. PS-SCHULE           156530Bonifatiusschule
 Städt. Sonderschule - BielefeldS         
241421. PS-SCHULE           156541Hamfeldschule - Bielefeld     S         
241422. PS-SCHULE           156553Städt. Schule am Kupferhammer - BielefeldS         
241423. PS-SCHULE           156565Mamre-Patmos-Schule (Ersatzsonderschule) - BielefeldS         
241424. PS-SCHULE           156577Comeniusschule
 Städt. Sonderschule - BielefeldS         
241425. PS-SCHULE           156589Westfälisch Schule für Körperbehinderte - BielefeldS         
241426. PS-SCHULE           156590Tieplatzschule - Bielefeld    S         
241428. PS-SCHULE           156632Don-Bosco-Schule - Salzkotten S         
241429. PS-SCHULE           156644Pestalozzischule - Blomberg   S         
241430. PS-SCHULE           156656Gustav-Heinemann-Schule - DetmoldS         
241431. PS-SCHULE           156668Albert-Schweitzer-Schule - LageS         
241432. PS-SCHULE           156670Turmschule - Horn-Bad MeinbergS         
241433. PS-SCHULE           156681Gerhart-Hauptmann-Schule - Halle (Westf.)S         
241434. PS-SCHULE           156693Matthias-Claudius-Schule - VersmoldS         
241435. PS-SCHULE           156700Pestalozzischule - Bünde      S         
241436. PS-SCHULE           156711Heideschule - Enger           S         
241437. PS-SCHULE           156723Albert-Schweitzer-Schule - HerfordS         
241438. PS-SCHULE           156735Schule für Erziehungshilfe - HiddenhausenS         
241439. PS-SCHULE           156747Albert-Schweitzer-Schule - KirchlengernS         
241440. PS-SCHULE           156759Werretalschule - Löhne        S         
241441. PS-SCHULE           156772Weyrather Schule - Sonderschule - - BeverungenS         
241442. PS-SCHULE           156784Anne-Frank-Schule - Bad DriburgS         
241443. PS-SCHULE           156796Schule Am Heiligenberg - HöxterS         
241444. PS-SCHULE           156802Friedrich-Wilhelm-Weber-Schule - SteinheimS         
241445. PS-SCHULE           156814Topehlenschule - Lemgo        S         
241446. PS-SCHULE           156826Anne-Frank-Schule - Lemgo     S         
241447. PS-SCHULE           156838Fröbelschule - Oerlinghausen  S         
241448. PS-SCHULE           156840Erich-Kästner-Schule - Bad SalzuflenS         
241449. PS-SCHULE           156851Pestalozzischule - Extertal   S         
241450. PS-SCHULE           156863Fröbelschule - Kalletal       S         
241451. PS-SCHULE           156875Pestalozzischule - Lübbecke   S         
241452. PS-SCHULE           156887Martinsschule - Espelkamp     S         
241453. PS-SCHULE           156899Kuhlenkampschule - Minden     S         
241454. PS-SCHULE           156905Portaschule - Porta WestfalicaS         
241455. PS-SCHULE           156917Lutherschule Kleinenbremen - Porta WestfalicaS         
241456. PS-SCHULE           156929Bernart-Schule im Schulzentrum Nord - Bad OeynhausenS         
241457. PS-SCHULE           156930Westfälische Schule f. Körperbehinderte - Bad OeynhausenS         
241458. PS-SCHULE           156942Schule Wittekindshof - Bad OeynhausenS         
241459. PS-SCHULE           156954Birkenkampschule - PetershagenS         
241460. PS-SCHULE           156966Pauline-von-Mallinckrodt-Schule - PaderbornS         
241461. PS-SCHULE           156978Meinwerkschule - Paderborn    S         
241465. PS-SCHULE           157016Sertürnerschule - Paderborn   S         
241462. PS-SCHULE           156980Westfälische Schule für Blinde und - PaderbornS         
241463. PS-SCHULE           156991Philipp-von-Hörde-Schule - DelbrückS         
241464. PS-SCHULE           157004Priv. Schule für Erziehungshilfe - HövelhofS         
241466. PS-SCHULE           157028Petrus-Damian-Schule - WarburgS         
241467. PS-SCHULE           157030Laurentius-Schule - Warburg   S         
241468. PS-SCHULE           157041Hüssenbergschule - WillebadessenS         
241469. PS-SCHULE           157053Eisenhoitschule - Warburg     S         
241470. PS-SCHULE           157065Pestalozzischule - Gütersloh  S         
241471. PS-SCHULE           157077Fröbelschule - Gütersloh      S         
241472. PS-SCHULE           157089Heidbrinkschule - Rheda-WiedenbrückS         
241473. PS-SCHULE           157107Martinschule
 Schule f. Lernbehinderte - RietbergS         
241474. PS-SCHULE           157119Lewacker-Schule - Bochum      S         
241475. PS-SCHULE           157120Peter-Petersen-Schule - BochumS         
241476. PS-SCHULE           157132Cruismannschule - Bochum      S         
241477. PS-SCHULE           157144Jakob-Muth-Schule - Bochum    S         
241478. PS-SCHULE           157168Maria-Montessori-Schule - BochumS         
241479. PS-SCHULE           157193Alleeschule - Bochum          S         
241480. PS-SCHULE           157200Westfälische Schule - Bochum  S         
241481. PS-SCHULE           157247Europaschule - Castrop-Rauxel S         
241482. PS-SCHULE           157260Langermannschule - Dortmund   S         
241483. PS-SCHULE           157284Minister-Stein-Schule - DortmundS         
241484. PS-SCHULE           157296Paul-Dohrmann-Schule - DortmundS         
241485. PS-SCHULE           157326Kielhornschule - Dortmund     S         
241486. PS-SCHULE           157338Adolf-Schulte-Schule - DortmundS         
241487. PS-SCHULE           157351Dellwigschule - Dortmund      S         
241488. PS-SCHULE           157363Wilhelm-Rein-Schule - DortmundS         
241489. PS-SCHULE           157375Alfred-Adler-Schule - DortmundS         
241490. PS-SCHULE           157387Fröbelschule - Dortmund       S         
241491. PS-SCHULE           157405Zillerschule  - Städt. Schule f. Lernbe- - DortmundS         
241492. PS-SCHULE           157417Frenzelschule - Dortmund      S         
241493. PS-SCHULE           157430Westfälische Schule - Bochum  S         
241494. PS-SCHULE           157442Max-Wittmann-Schule - DortmundS         
241495. PS-SCHULE           157454Martin-Bartels-Schule - DortmundS         
241496. PS-SCHULE           157466Schule am Marsbruch - DortmundS         
241497. PS-SCHULE           157478Westfälische Schule - DortmundS         
241498. PS-SCHULE           157480August-Hermann-Francke-Schule - HagenS         
241499. PS-SCHULE           157491Fritz-Reuter-Schule - Hagen   S         
241500. PS-SCHULE           157510Friedrich-von-Bodelschwingh-Schule - HagenS         
241501. PS-SCHULE           157521Harkortschule - Hamm          S         
241502. PS-SCHULE           157533Schule im Heithof - Hamm      S         
241503. PS-SCHULE           157545Städt. Schule für Lernbehinderte - HerneS         
241504. PS-SCHULE           157570Paul-Klee-Schule - Herne      S         
241505. PS-SCHULE           157582Pestalozzischule - Iserlohn   S         
241506. PS-SCHULE           157600Friedrich-Ebert-Schule - LünenS         
241507. PS-SCHULE           157612Kielhornschule - Lünen        S         
241508. PS-SCHULE           157624Schule an der Hedwigstraße - HerneS         
241509. PS-SCHULE           157648Städt. Schule im org. und pers. Verbund - HerneS         
241510. PS-SCHULE           157650Städt. Schule für Geistigbehinderte - HerneS         
241511. PS-SCHULE           157661Holland-Schule - Bochum       S         
241512. PS-SCHULE           157685Fröbelschule - Bochum         S         
241513. PS-SCHULE           157727Pestalozzischule - Witten     S         
241514. PS-SCHULE           157739Förderschule Am Drescheider Berg - AltenaS         
241515. PS-SCHULE           157740Pestalozzischule - PlettenbergS         
241516. PS-SCHULE           157752Pestalozzischule - Werdohl    S         
241517. PS-SCHULE           157764Schule an der Susannenhöhe - HalverS         
241518. PS-SCHULE           157788Friedensschule - Lüdenscheid  S         
241519. PS-SCHULE           157790Schule für Lernbehinderte Volmetal - MeinerzhagenS         
241520. PS-SCHULE           157818Fröbelschule - Arnsberg       S         
241521. PS-SCHULE           157820Pestalozzischule - Arnsberg   S         
241522. PS-SCHULE           157843Dietrich-Bonhoeffer-Schule - SundernS         
241523. PS-SCHULE           157855Grimmeschule - Warstein       S         
241524. PS-SCHULE           157867Hans-Zulliger-Schule - Brilon S         
241525. PS-SCHULE           157879Christophorusschule - Brilon  S         
241526. PS-SCHULE           157880Anne-Frank-Schule - Bestwig   S         
241527. PS-SCHULE           157892Städt. Schule für Körperbehinderte - OlsbergS         
241528. PS-SCHULE           157909Städt. Schule für Lernbehinderte - WinterbergS         
241529. PS-SCHULE           157910Kerschensteiner-Schule - MarsbergS         
241530. PS-SCHULE           157922Westfälische Schule für Kranke - MarsbergS         
241531. PS-SCHULE           157934Priv. Schule für Erziehungshilfe - EnnepetalS         
241532. PS-SCHULE           157946Albert-Schweitzer-Schule - EnnepetalS         
241533. PS-SCHULE           157958Hasencleverschule - Städtische Schule - GevelsbergS         
241534. PS-SCHULE           157960St. Georg-Schule
 Städt.Sonderschule für - HattingenS         
241535. PS-SCHULE           157995Albert-Schweitzer-Schule
 Städt. Sonder- - Herdecke (Ruhr)S         
241536. PS-SCHULE           158008Pestalozzischule - Schwelm    S         
241537. PS-SCHULE           158010Schule Hiddinghausen - SprockhövelS         
241538. PS-SCHULE           158021Evangelische Stiftung Volmarstein - WetterS         
241539. PS-SCHULE           158069Pestalozzischule - Hagen      S         
241540. PS-SCHULE           158070Brabeckschule - Iserlohn      S         
241541. PS-SCHULE           158082Rodenbergschule - Menden      S         
241542. PS-SCHULE           158094Pestalozzischule  - Sonderschule - - SchwerteS         
241543. PS-SCHULE           158100Pestalozzischule - Hemer      S         
241544. PS-SCHULE           158136Pestalozzischule - Lippstadt  S         
241545. PS-SCHULE           158173Elisabethschule - Meschede    S         
241546. PS-SCHULE           158185Valentin-Schule - SchmallenbergS         
241547. PS-SCHULE           158197Albert-Schweitzer-Schule - AttendornS         
241548. PS-SCHULE           158215Janusz-Korczak-Schule - LennestadtS         
241549. PS-SCHULE           158227Pestalozzischule - Olpe/BiggeseeS         
241550. PS-SCHULE           158252Waldschule - Siegen           S         
241551. PS-SCHULE           158276Pestalozzischule - Siegen     S         
241552. PS-SCHULE           158290Hellertalschule - Burbach     S         
